Datum,Tijd,Temperatuur,Luchtvochtigheid
27-9-2019,0,17.4,87.8
27-9-2019,6,17.3,88
27-9-2019,12,17.2,88.2
27-9-2019,18,17.3,88
28-9-2019,0,17.3,87.9
28-9-2019,6,17.2,88.1
28-9-2019,12,17.2,88.2
28-9-2019,18,17.2,87.7
29-9-2019,0,17.2,88.1
29-9-2019,6,17.1,88.1
29-9-2019,12,17.1,88.2
29-9-2019,18,17.1,88.2
30-9-2019,0,17.1,88.4
30-9-2019,6,17,88.4
30-9-2019,12,17,88.9
30-9-2019,18,17,88.8
1-10-2019,0,16.9,88.8
1-10-2019,6,16.8,89
1-10-2019,12,16.8,89.4
1-10-2019,18,16.8,89.4
2-10-2019,0,16.8,89.3
2-10-2019,6,16.7,89.5
2-10-2019,12,16.6,89.6
2-10-2019,18,16.5,89.4
3-10-2019,0,16.4,89.5
3-10-2019,6,16.3,89.7
3-10-2019,12,16.1,89.8
3-10-2019,18,16.1,90
4-10-2019,0,16,90.1
4-10-2019,6,15.9,90
4-10-2019,12,15.7,90
4-10-2019,18,15.6,90.4
5-10-2019,0,15.6,90.9
5-10-2019,6,15.5,90.6
5-10-2019,12,15.3,90.3
5-10-2019,18,15.5,90
6-10-2019,0,15.6,89.8
6-10-2019,6,15.6,89.7
6-10-2019,12,15.6,89.5
6-10-2019,18,15.7,89.5
7-10-2019,0,15.7,89.4
7-10-2019,6,15.6,89.4
7-10-2019,12,15.4,89.3
7-10-2019,18,15.3,89.2
8-10-2019,0,15.2,89.4
8-10-2019,6,15.1,89.8
8-10-2019,12,15.1,90.2
8-10-2019,18,15.1,90.3
9-10-2019,0,15,90.5
9-10-2019,6,15,90.6
9-10-2019,12,14.9,90.7
9-10-2019,18,14.8,90.6
10-10-2019,0,14.8,90.7
10-10-2019,6,14.7,90.8
10-10-2019,12,14.7,90.1
10-10-2019,18,14.8,89.8
11-10-2019,0,15,89.9
11-10-2019,6,15,89.9
11-10-2019,12,15,90.2
11-10-2019,18,15,90.3
12-10-2019,0,15,90.5
12-10-2019,6,15,90.6
12-10-2019,12,15,90.9
12-10-2019,18,15.2,90.8
13-10-2019,0,15.3,90.7
13-10-2019,6,15.3,90.6
13-10-2019,12,15.5,91
13-10-2019,18,15.8,90.7
14-10-2019,0,15.9,90.8
14-10-2019,6,15.9,90.7
14-10-2019,12,15.8,90.6
14-10-2019,18,15.9,90.8
15-10-2019,0,15.9,90.9
15-10-2019,6,15.9,90.8
15-10-2019,12,15.9,90.8
15-10-2019,18,15.9,90.9
16-10-2019,0,15.9,90.8
16-10-2019,6,15.9,90.8
16-10-2019,12,15.8,90.4
16-10-2019,18,15.8,90.5
17-10-2019,0,15.8,90.7
17-10-2019,6,15.8,90.8
17-10-2019,12,15.7,90.9
17-10-2019,18,15.7,90.9
18-10-2019,0,15.7,90.8
18-10-2019,6,15.7,90.8
18-10-2019,12,15.6,90.8
18-10-2019,18,15.6,90.9
19-10-2019,0,15.5,90.8
19-10-2019,6,15.3,90.9
19-10-2019,12,15.2,90.9
19-10-2019,18,15.2,91
20-10-2019,0,15.1,91.1
20-10-2019,6,15,91.2
20-10-2019,12,15.2,90.7
20-10-2019,18,15.3,90.7
21-10-2019,0,15.3,90.7
21-10-2019,6,15.3,90.7
21-10-2019,12,15.2,91
21-10-2019,18,15.2,90.8
22-10-2019,0,15.1,90.8
22-10-2019,6,15,90.8
22-10-2019,12,15,91.1
22-10-2019,18,15,91.1
23-10-2019,0,15,91.2
23-10-2019,6,14.9,91.3
23-10-2019,12,14.9,91.4
23-10-2019,18,14.9,91.4
24-10-2019,0,14.9,91.6
24-10-2019,6,14.9,91.6
24-10-2019,12,14.9,91.7
24-10-2019,18,14.9,91.6
25-10-2019,0,14.9,91.6
25-10-2019,6,14.9,91.6
25-10-2019,12,14.9,91.6
25-10-2019,18,14.9,91.4
26-10-2019,0,14.9,91.5
26-10-2019,6,15,91.5
26-10-2019,12,15,91.4
26-10-2019,18,15.1,91.3
27-10-2019,0,15.1,91.2
27-10-2019,5,15.1,91.4
27-10-2019,11,15.3,90.7
27-10-2019,17,15.4,90.5
27-10-2019,23,15.5,90.6
28-10-2019,5,15.5,90.7
28-10-2019,11,15.3,90.7
28-10-2019,17,15.3,90.7
28-10-2019,23,15.2,90.8
29-10-2019,5,15,90.7
29-10-2019,11,14.8,90.7
29-10-2019,17,14.8,90.9
29-10-2019,23,14.6,90.5
30-10-2019,5,14.4,90.5
30-10-2019,11,14.1,90.3
30-10-2019,17,14.2,90.5
30-10-2019,23,14.2,90
31-10-2019,5,14.1,89.7
31-10-2019,11,13.9,89.2
31-10-2019,17,13.8,89.8
31-10-2019,23,13.7,89.5
1-11-2019,5,13.4,89.6
1-11-2019,11,13.1,89.5
1-11-2019,17,13,90.1
1-11-2019,23,12.9,90.3
2-11-2019,5,12.9,90.8
2-11-2019,11,12.9,91.4
2-11-2019,17,13.1,91.1
2-11-2019,23,13.5,90.7
3-11-2019,5,13.6,90.5
3-11-2019,11,13.8,90.1
3-11-2019,17,14.1,90.1
3-11-2019,23,14.3,90
4-11-2019,5,14.4,90
4-11-2019,11,14.3,89.9
4-11-2019,17,14.3,90
4-11-2019,23,14.2,90.1
5-11-2019,5,14.1,90.2
5-11-2019,11,14,90.4
5-11-2019,17,13.9,90.5
5-11-2019,23,13.8,90.7
6-11-2019,5,13.8,90.9
6-11-2019,11,13.7,91.1
6-11-2019,17,13.6,91
6-11-2019,23,13.7,90.8
7-11-2019,5,13.9,90.6
7-11-2019,11,13.8,90.5
7-11-2019,17,13.7,90.5
7-11-2019,23,13.6,90.5
8-11-2019,5,13.4,90.6
8-11-2019,11,13.1,90.5
8-11-2019,17,13.1,90.5
8-11-2019,23,13,90.6
9-11-2019,5,12.9,90.5
9-11-2019,11,12.7,90.3
9-11-2019,17,12.7,90.6
9-11-2019,23,12.6,90.5
10-11-2019,5,12.4,90.5
10-11-2019,11,12.5,89.7
10-11-2019,17,12.9,89.6
10-11-2019,23,13.2,89.6
11-11-2019,5,13.2,89.6
11-11-2019,11,13,89.4
11-11-2019,17,12.9,89.3
11-11-2019,23,13,89.3
12-11-2019,5,13,89.3
12-11-2019,11,12.9,89
12-11-2019,17,12.7,89.1
12-11-2019,23,12.5,89.2
13-11-2019,5,12.3,89.4
13-11-2019,11,12.1,90
13-11-2019,17,12,90.4
13-11-2019,23,11.9,90.2
14-11-2019,5,11.7,90.4
14-11-2019,11,11.8,90
14-11-2019,17,12.1,89.9
14-11-2019,23,12.1,89.8
15-11-2019,5,12,89.8
15-11-2019,11,11.9,89.9
15-11-2019,17,11.7,89.9
15-11-2019,23,11.6,90.2
16-11-2019,5,11.4,90.3
16-11-2019,11,11.2,90.4
16-11-2019,17,11.3,90.7
16-11-2019,23,11.1,90.7
17-11-2019,5,10.9,91
17-11-2019,11,11.1,89.9
17-11-2019,17,11.6,89.6
17-11-2019,23,11.7,89.5
18-11-2019,5,11.6,89.5
18-11-2019,11,11.5,90
18-11-2019,17,11.5,90.5
18-11-2019,23,11.4,91.1
19-11-2019,5,11.2,90.9
19-11-2019,11,11.1,91.1
19-11-2019,17,11.1,91.4
19-11-2019,23,11,91.7
20-11-2019,5,10.8,91.2
20-11-2019,11,10.6,90.6
20-11-2019,17,10.5,90.9
20-11-2019,23,10.4,90.6
21-11-2019,5,10.3,90.5
21-11-2019,11,10.3,90.2
21-11-2019,17,10.7,89.7
21-11-2019,23,10.8,89.7
22-11-2019,5,10.7,89.5
22-11-2019,11,10.6,90
22-11-2019,17,10.7,90.1
22-11-2019,23,10.6,90
23-11-2019,5,10.5,89.9
23-11-2019,11,10.3,90
23-11-2019,17,10.4,90.5
23-11-2019,23,10.3,91.1
24-11-2019,5,10.2,91.2
24-11-2019,11,10.5,90.1
24-11-2019,17,11,89.9
24-11-2019,23,11.4,89.6
25-11-2019,5,11.5,89.5
25-11-2019,11,11.4,89.5
25-11-2019,17,11.4,89.7
25-11-2019,23,11.3,89.7
26-11-2019,5,11.2,89.9
26-11-2019,11,11.2,90.4
26-11-2019,17,11.1,90.8
26-11-2019,23,11.1,91.1
27-11-2019,5,11.1,91.3
27-11-2019,11,11.1,91.5
27-11-2019,17,11.1,91.6
27-11-2019,23,11.1,91.8
28-11-2019,5,11.1,91.9
28-11-2019,11,11.1,92
28-11-2019,17,11.1,92.2
28-11-2019,23,11.1,92.3
29-11-2019,5,11,92.3
29-11-2019,11,10.9,92.2
29-11-2019,17,10.9,92.4
29-11-2019,23,10.8,92.1
30-11-2019,5,10.6,91.9
30-11-2019,11,10.5,91.4
30-11-2019,17,10.6,92
30-11-2019,23,10.4,91.5
1-12-2019,5,10.3,91.2
1-12-2019,11,10.5,90.9
1-12-2019,17,11,90.2
1-12-2019,23,11.4,90.1
2-12-2019,5,11.5,90.1
2-12-2019,11,11.4,89.8
2-12-2019,17,11.7,89.3
2-12-2019,23,11.7,89.2
3-12-2019,5,11.6,89.5
3-12-2019,11,11.4,89.6
3-12-2019,17,11.3,89.4
3-12-2019,23,11.2,89.5
4-12-2019,5,11,89.5
4-12-2019,11,10.7,89.2
4-12-2019,17,10.6,89.1
4-12-2019,23,10.4,89.3
5-12-2019,5,10.2,89
5-12-2019,11,10.1,89.6
5-12-2019,17,10,89.3
5-12-2019,23,10,89.5
6-12-2019,5,9.9,89.6
6-12-2019,11,9.9,89.9
6-12-2019,17,9.9,90.4
6-12-2019,23,9.9,90.9
7-12-2019,5,9.9,91.2
7-12-2019,11,9.9,91.6
7-12-2019,17,10.3,91.1
7-12-2019,23,10.6,90.6
8-12-2019,5,10.6,90.6
8-12-2019,11,11,90.6
8-12-2019,17,11.3,90
8-12-2019,23,11.4,89.7
9-12-2019,5,11.3,89.6
9-12-2019,11,11.2,89.8
9-12-2019,17,11.1,90.1
9-12-2019,23,11,90.1
10-12-2019,5,10.8,90
10-12-2019,11,10.6,90
10-12-2019,17,10.5,89.7
10-12-2019,23,10.3,89.3
11-12-2019,5,10.3,89.9
11-12-2019,11,10.2,90.3
11-12-2019,17,10.1,90.7
11-12-2019,23,10.1,90.8
12-12-2019,5,10,90.7
12-12-2019,11,9.9,90.5
12-12-2019,17,9.9,90.2
12-12-2019,23,9.8,89.7
13-12-2019,5,9.7,89.9
13-12-2019,11,9.7,90
13-12-2019,17,10.2,89.9
13-12-2019,23,10.4,89.8
14-12-2019,5,10.4,89.7
14-12-2019,11,10.3,89.8
14-12-2019,17,10.3,89.9
14-12-2019,23,10.1,90
15-12-2019,5,10,90
15-12-2019,11,10.3,89.4
15-12-2019,17,10.9,89.2
15-12-2019,23,11.2,88.6
16-12-2019,5,11.1,88.8
16-12-2019,11,11,89
16-12-2019,17,10.9,89.4
16-12-2019,23,10.8,89.7
17-12-2019,5,10.7,90
17-12-2019,11,10.8,90
17-12-2019,17,11,89.9
17-12-2019,23,11.2,90.2
18-12-2019,5,11.1,90
18-12-2019,11,11.2,89.8
18-12-2019,17,11.5,89.5
18-12-2019,23,11.7,88.8
19-12-2019,5,11.8,88.8
19-12-2019,11,11.8,88.7
19-12-2019,17,12.1,88.5
19-12-2019,23,12.4,88.2
20-12-2019,5,12.4,87.9
20-12-2019,11,12.4,87.7
20-12-2019,17,12.6,88
20-12-2019,23,12.7,87.7
21-12-2019,5,12.7,87.6
21-12-2019,11,12.6,87.8
21-12-2019,17,12.5,87.8
21-12-2019,23,12.3,88.1
22-12-2019,5,12.1,88.2
22-12-2019,11,12.2,87.7
22-12-2019,17,12.5,87.9
22-12-2019,23,12.5,87.8
23-12-2019,5,12.4,88
23-12-2019,11,12.2,88.2
23-12-2019,17,12.5,88.1
23-12-2019,23,12.6,87.6
24-12-2019,5,12.6,87.6
24-12-2019,11,12.4,87.9
24-12-2019,17,12.2,88.1
24-12-2019,23,12.3,88.6
25-12-2019,5,12.5,88.1
25-12-2019,11,12.6,88.1
25-12-2019,17,12.8,87.8
25-12-2019,23,12.7,87.7
26-12-2019,5,12.6,87.8
26-12-2019,11,12.5,87.9
26-12-2019,17,12.6,87.5
26-12-2019,23,12.6,87.7
27-12-2019,5,12.4,87.8
27-12-2019,11,12.2,87.6
27-12-2019,17,12,87.7
27-12-2019,23,11.8,87.1
28-12-2019,5,11.5,86.9
28-12-2019,11,11.1,86.4
28-12-2019,17,10.9,86.5
28-12-2019,23,10.7,86.7
29-12-2019,5,10.4,86.8
29-12-2019,11,10.6,86.2
29-12-2019,17,11,86.3
29-12-2019,23,11,86.3
30-12-2019,5,10.8,85.9
30-12-2019,11,10.6,85.8
30-12-2019,17,10.5,86.1
30-12-2019,23,10.4,86.3
31-12-2019,5,10.2,86.7
31-12-2019,11,10.1,87.2
31-12-2019,17,10,87.7
31-12-2019,23,10.3,87.4
1-1-2020,5,10.4,87
1-1-2020,11,10.3,86.9
1-1-2020,17,10.2,86.9
1-1-2020,23,10,86.9
2-1-2020,5,9.8,86.9
2-1-2020,11,9.7,87.1
2-1-2020,17,9.6,87.4
2-1-2020,23,9.6,87.7
3-1-2020,5,9.6,88.5
3-1-2020,11,9.7,88.8
3-1-2020,17,9.7,89.4
3-1-2020,23,9.6,89.5
4-1-2020,5,9.6,89.5
4-1-2020,11,9.6,89.6
4-1-2020,17,10,89.7
4-1-2020,23,10.3,89.3
5-1-2020,5,10.4,89.2
5-1-2020,11,10.7,88.6
5-1-2020,17,11,88.3
5-1-2020,23,11.3,87.8
6-1-2020,5,11.3,87.7
6-1-2020,11,11.2,87.5
6-1-2020,17,11.1,87.5
6-1-2020,23,10.9,87.4
7-1-2020,5,10.8,87.9
7-1-2020,11,10.7,88.4
7-1-2020,17,10.6,88.8
7-1-2020,23,10.5,88.9
8-1-2020,5,10.4,89.3
8-1-2020,11,10.4,89.8
8-1-2020,17,10.4,90.1
8-1-2020,23,10.4,90.5
9-1-2020,5,10.5,91
9-1-2020,11,10.5,91.1
9-1-2020,17,10.5,91.2
9-1-2020,23,10.5,91.4
10-1-2020,5,10.6,91.4
10-1-2020,11,10.5,91.4
10-1-2020,17,10.5,91.4
10-1-2020,23,10.4,91
11-1-2020,5,10.2,90.9
11-1-2020,11,10.1,90.8
11-1-2020,17,10.4,90.2
11-1-2020,23,10.7,90
12-1-2020,5,10.7,89.8
12-1-2020,11,10.9,89.1
12-1-2020,17,11.2,89.1
12-1-2020,23,11.3,89.2
13-1-2020,5,11.2,89.3
13-1-2020,11,11.1,89.4
13-1-2020,17,11,89.3
13-1-2020,23,10.9,89.2
14-1-2020,5,10.9,89.9
14-1-2020,11,20.4,57.1
